Oracion_Texto	Sujeto	Verbo	Tipo_Predicado	Estructura_JSON	Activo	Tags_JSON	Subfase
Peñaranda se hizo amigo de ellos.	Peñaranda	se hizo	Predicado Nominal (Semicopulativo)	[{"segmento":"amigo de ellos","función":"Atr.","sintagma":"SN","naturaleza":"Argumento","estructura":{"amigo":"N","de ellos":{"SPrep/CN":{"de":"N (Prep)","ellos":"N"}}},"consejo":"Prueba a suprimirlo: \"Peñaranda se hizo\" queda incompleto y \"hacerse\" pierde su sentido normal. No se sustituye por \"lo\" pero sí por \"así\": es Atributo, aunque el verbo no sea ser/estar/parecer."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":2,"verbo":"pronominal"}	completo
El viaje se me hacía eterno.	El viaje	se hacía	Predicado Nominal (Semicopulativo)	[{"segmento":"me","función":"CI","sintagma":"SN","naturaleza":"Argumento","estructura":{"me":"N"},"consejo":"¿A quién le resultaba eterno? Se sustituye por \"le\": es CI, no lo confundas con el Atributo."},{"segmento":"eterno","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"eterno":"N"},"consejo":"No se sustituye por \"lo\" (a diferencia de ser/estar) pero sí por \"así\": \"el viaje se me hacía... así\"."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["CI","Atr."],"dificultad":2,"verbo":"pronominal"}	completo
La casa resultaba pequeña.	La casa	resultaba	Predicado Nominal (Semicopulativo)	[{"segmento":"pequeña","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"pequeña":"N"},"consejo":"Suprímelo: \"la casa resultaba\" queda cojo. No admite \"lo\" pero sí \"así\": es Atributo, igual que con ser/estar/parecer."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1}	completo
Susana se quedó atónita.	Susana	se quedó	Predicado Nominal (Semicopulativo)	[{"segmento":"atónita","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"atónita":"N"},"consejo":"\"Quedarse\" aquí ha perdido su significado de permanencia física: es semicopulativo. El atributo no se sustituye por \"lo\", sí por \"así\"."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1,"verbo":"pronominal"}	completo
Samuel seguía triste.	Samuel	seguía	Predicado Nominal (Semicopulativo)	[{"segmento":"triste","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"triste":"N"},"consejo":"\"Seguir\" presupone un estado previo que se mantiene: es semicopulativo de permanencia. Atributo obligatorio, no sustituible por \"lo\"."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1}	completo
El sospechoso pasó inadvertido.	El sospechoso	pasó	Predicado Nominal (Semicopulativo)	[{"segmento":"inadvertido","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"inadvertido":"N"},"consejo":"\"Pasar inadvertido\" es una locución fija (fuera de ella, \"pasar\" no es semicopulativo). El atributo es obligatorio: sin él, \"el sospechoso pasó\" cambia de sentido."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1}	completo
Carmen lucía bellísima en la fiesta.	Carmen	lucía	Predicado Nominal (Semicopulativo)	[{"segmento":"bellísima","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"bellísima":"N"},"consejo":"\"Lucir\" pondera una apariencia: semicopulativo de manifestación. Atributo obligatorio, no sustituible por \"lo\"."},{"segmento":"en la fiesta","función":"CC Lugar","sintagma":"SP","naturaleza":"Adjunto","estructura":{"en":"N (Prep)","la fiesta":{"SN/T":{"la":"Mod/Det.","fiesta":"N"}}},"consejo":"¿Dónde? Se puede suprimir o desplazar sin romper la oración: es CC Lugar, no forma parte del atributo."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr.","CC Lugar"],"dificultad":2}	completo
El profesor permaneció en silencio.	El profesor	permaneció	Predicado Nominal (Semicopulativo)	[{"segmento":"en silencio","función":"Atr.","sintagma":"SP","naturaleza":"Argumento","estructura":{"en":"N (Prep)","silencio":"N"},"consejo":"\"Permanecer\" indica duración de un estado: semicopulativo de permanencia. Aunque tenga forma de SP, funciona como Atributo (sustituible por \"así\", no por \"lo\")."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":2}	completo
La biblioteca se veía vacía.	La biblioteca	se veía	Predicado Nominal (Semicopulativo)	[{"segmento":"vacía","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"vacía":"N"},"consejo":"\"Verse\" aquí expresa apariencia percibida: semicopulativo de manifestación. Atributo obligatorio y no sustituible por \"lo\"."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1,"verbo":"pronominal"}	completo
El Gobierno se muestra favorable.	El Gobierno	se muestra	Predicado Nominal (Semicopulativo)	[{"segmento":"favorable","función":"Atr.","sintagma":"SAdj","naturaleza":"Argumento","estructura":{"favorable":"N"},"consejo":"\"Mostrarse\" indica cómo se percibe externamente una propiedad: semicopulativo de manifestación. Atributo obligatorio."}]	Sí	{"tipo_oracion":"simple","predicado":"nominal","funciones_presentes":["Atr."],"dificultad":1,"verbo":"pronominal"}	completo
