ID	Nivel	Curso_Min	Titulo_Problema	Procedimientos	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
FP_0031	medio	3E	¿Cómo se ha fabricado la palabra «enrojecer»?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0031","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «enrojecer»?","corpus":["rojo","enrojecer","enrojecimiento"],"items":[{"tipo":"intruso","palabras":["enrojecer","enrojecimiento","enrojecido","enrolar"],"respuesta":"enrolar","feedback":"«Enrolar» empieza parecido, pero no tiene que ver con el color rojo."},{"tipo":"juicio","forma":"*rojecer","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","falta_base"],"forma_correcta":"enrojecer","explicacion":"Si quitamos solo el trozo del principio, lo que queda («rojecer») no existe: las dos piezas entraron a la vez."},{"tipo":"piezas","modo":"etiquetar","palabra":"enrojecer","cortes":["en","roj","ecer"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"enrojecer","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0032	medio	3E	¿Cómo se ha fabricado la palabra «entristecer»?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0032","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «entristecer»?","corpus":["triste","entristecer","tristeza"],"items":[{"tipo":"intruso","palabras":["entristecer","tristeza","entristecido","entrenar"],"respuesta":"entrenar","feedback":"«Entrenar» empieza igual, pero no comparte el trozo con el significado de «triste»."},{"tipo":"juicio","forma":"*tristecer","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"entristecer","explicacion":"Sin el trozo «en-» delante, «tristecer» no existe: las dos piezas se necesitan a la vez."},{"tipo":"piezas","modo":"etiquetar","palabra":"entristecer","cortes":["en","trist","ecer"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"entristecer","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0033	medio	3E	¿Cómo se ha fabricado la palabra «enmudecer»?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0033","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «enmudecer»?","corpus":["mudo","enmudecer","mudez"],"items":[{"tipo":"intruso","palabras":["enmudecer","mudez","enmudecido","enmarcar"],"respuesta":"enmarcar","feedback":"«Enmarcar» empieza igual, pero su significado no tiene que ver con quedarse sin voz."},{"tipo":"juicio","forma":"*mudecer","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","familia_falsa"],"forma_correcta":"enmudecer","explicacion":"«Mudecer» sola no existe: hace falta el trozo «en-» y el trozo «-ecer» a la vez."},{"tipo":"piezas","modo":"etiquetar","palabra":"enmudecer","cortes":["en","mud","ecer"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"enmudecer","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0034	medio	3E	¿Cómo se ha fabricado la palabra «enloquecer»?	parasintetica	agrupa;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0034","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «enloquecer»?","corpus":["loco","enloquecer","locura"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con perder la cabeza","palabras":["loco","enloquecer","locura"]},{"nombre":"No tienen que ver con esa familia","palabras":["pájaro","arena"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de fondo."},{"tipo":"juicio","forma":"*loquecer","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","falta_base"],"forma_correcta":"enloquecer","explicacion":"«Loquecer» no existe suelta: hace falta que las dos piezas entren juntas."},{"tipo":"piezas","modo":"etiquetar","palabra":"enloquecer","cortes":["en","loqu","ecer"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"enloquecer","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0035	medio	3E	¿Cómo se ha fabricado la palabra «aterrizar»?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0035","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «aterrizar»?","corpus":["tierra","aterrizar","aterrizaje"],"items":[{"tipo":"intruso","palabras":["aterrizar","aterrizaje","aterrizado","atender"],"respuesta":"atender","feedback":"«Atender» empieza parecido, pero no tiene que ver con bajar hasta el suelo."},{"tipo":"juicio","forma":"*terrizar","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"aterrizar","explicacion":"Sin el trozo «a-» delante, «terrizar» no existe: hacen falta las dos piezas a la vez."},{"tipo":"piezas","modo":"etiquetar","palabra":"aterrizar","cortes":["a","terr","izar"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"aterrizar","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0036	medio	3E	¿Cómo se ha fabricado la palabra «embarcar»?	parasintetica	agrupa;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0036","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «embarcar»?","corpus":["barco","embarcar","embarque"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con subir a un barco","palabras":["barco","embarcar","embarque"]},{"nombre":"No tienen que ver con esa familia","palabras":["piedra","lápiz"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de fondo."},{"tipo":"juicio","forma":"*barcar","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","familia_falsa"],"forma_correcta":"embarcar","explicacion":"«Barcar» sola no existe: las dos piezas, «em-» y «-ar», entran a la vez sobre «barco»."},{"tipo":"piezas","modo":"etiquetar","palabra":"embarcar","cortes":["em","barc","ar"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"embarcar","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0037	medio	3E	¿Cómo se ha fabricado la palabra «empapelar»?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0037","nivel":"medio","titulo_problema":"¿Cómo se ha fabricado la palabra «empapelar»?","corpus":["papel","empapelar","empapelado"],"items":[{"tipo":"intruso","palabras":["empapelar","empapelado","empapelador","emparejar"],"respuesta":"emparejar","feedback":"«Emparejar» empieza igual, pero no tiene que ver con cubrir algo de papel."},{"tipo":"juicio","forma":"*papelar","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"empapelar","explicacion":"«Papelar» sola no existe: hacen falta el trozo «em-» y el trozo «-ar» a la vez."},{"tipo":"piezas","modo":"etiquetar","palabra":"empapelar","cortes":["em","papel","ar"],"etiquetas":["prefijo","raiz","sufijo"]},{"tipo":"clasifica_prueba","palabra":"empapelar","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0038	medio	3E	¿Qué tiene de especial «café teatro»?	compuesta_sintagmatica	agrupa;par_minimo;piezas;clasifica_prueba;cascada	{"schema_version":"1.0","id":"FP_0038","nivel":"medio","titulo_problema":"¿Qué tiene de especial «café teatro»?","corpus":["café","teatro","café teatro","cafetería"],"items":[{"tipo":"agrupa","criterio":"pieza_comun","cestas":[{"nombre":"Palabras separadas que juntas nombran una sola cosa","palabras":["café teatro","hombre rana"]},{"nombre":"Una sola palabra con una pieza añadida","palabras":["cafetería","librería"]}],"feedback":"Dos palabras que se escriben separadas y aun así señalan una sola cosa no es lo mismo que una palabra con una pieza pegada."},{"tipo":"par_minimo","forma_a":"teatro","forma_b":"café teatro","cambio":"teatro → café teatro","opciones":[{"texto":"palabra nueva","ok":true,"micro":"«Café teatro» no es un teatro cualquiera: nombra un tipo concreto de local, con espectáculo y consumición a la vez."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara el número, como en «teatro» y «teatros»."}]},{"tipo":"piezas","modo":"cortar","palabra":"café teatro","cortes":["café"," teatro"],"feedback":"«café» es la primera pieza; « teatro» añade el resto del significado, aunque se escriban separadas."},{"tipo":"clasifica_prueba","palabra":"café teatro","procedimiento":"compuesta_sintagmatica","prueba_id":"PRU-MORF-CSINT-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2},{"tipo":"cascada","palabra":"café teatro","pasos":[{"pregunta":"¿Se puede separar en dos palabras completas que existen por su cuenta?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"no"}],"procedimiento":"compuesta_sintagmatica"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0039	medio	3E	¿Qué tiene de especial «ciudad dormitorio»?	compuesta_sintagmatica	intruso;par_minimo;piezas;clasifica_prueba;cascada	{"schema_version":"1.0","id":"FP_0039","nivel":"medio","titulo_problema":"¿Qué tiene de especial «ciudad dormitorio»?","corpus":["ciudad","dormitorio","ciudad dormitorio","urbanización"],"items":[{"tipo":"intruso","palabras":["ciudad dormitorio","coche cama","hombre rana","panadería"],"respuesta":"panadería","feedback":"«Panadería» es una sola palabra con una pieza añadida; las otras se escriben en dos palabras separadas."},{"tipo":"par_minimo","forma_a":"dormitorio","forma_b":"ciudad dormitorio","cambio":"dormitorio → ciudad dormitorio","opciones":[{"texto":"palabra nueva","ok":true,"micro":"«Ciudad dormitorio» no es un dormitorio: nombra un tipo de población donde se vive pero apenas se trabaja."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara el número, como «dormitorio» y «dormitorios»."}]},{"tipo":"piezas","modo":"cortar","palabra":"ciudad dormitorio","cortes":["ciudad"," dormitorio"],"feedback":"«ciudad» es la primera pieza; « dormitorio» añade el resto del significado, aunque se escriban separadas."},{"tipo":"clasifica_prueba","palabra":"ciudad dormitorio","procedimiento":"compuesta_sintagmatica","prueba_id":"PRU-MORF-CSINT-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2},{"tipo":"cascada","palabra":"ciudad dormitorio","pasos":[{"pregunta":"¿Se puede separar en dos palabras completas que existen por su cuenta?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"no"}],"procedimiento":"compuesta_sintagmatica"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0040	medio	3E	¿Qué tiene de especial «coche cama»?	compuesta_sintagmatica	agrupa;par_minimo;piezas;clasifica_prueba;cascada	{"schema_version":"1.0","id":"FP_0040","nivel":"medio","titulo_problema":"¿Qué tiene de especial «coche cama»?","corpus":["coche","cama","coche cama","cochecito"],"items":[{"tipo":"agrupa","criterio":"pieza_comun","cestas":[{"nombre":"Palabras separadas que juntas nombran una sola cosa","palabras":["coche cama","pez espada"]},{"nombre":"Una sola palabra con una pieza añadida","palabras":["cochecito","librería"]}],"feedback":"Dos palabras que se escriben separadas y aun así señalan una sola cosa no es lo mismo que una palabra con una pieza pegada."},{"tipo":"par_minimo","forma_a":"coche","forma_b":"coche cama","cambio":"coche → coche cama","opciones":[{"texto":"palabra nueva","ok":true,"micro":"«Coche cama» no es un coche cualquiera: es un vagón de tren con literas."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara el número, como en «coche» y «coches»."}]},{"tipo":"piezas","modo":"cortar","palabra":"coche cama","cortes":["coche"," cama"],"feedback":"«coche» es la primera pieza; « cama» añade el resto del significado, aunque se escriban separadas."},{"tipo":"clasifica_prueba","palabra":"coche cama","procedimiento":"compuesta_sintagmatica","prueba_id":"PRU-MORF-CSINT-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2},{"tipo":"cascada","palabra":"coche cama","pasos":[{"pregunta":"¿Se puede separar en dos palabras completas que existen por su cuenta?","respuesta":"si"},{"pregunta":"¿Se escriben juntas, en una sola palabra?","respuesta":"no"}],"procedimiento":"compuesta_sintagmatica"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 3ESO S4 (mesa de herramientas)","curso_min":"3E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
