Fuente	Texto	Nivel_Destino	Tokens_JSON	Estado
josele-n1	El gato duerme en el sofá.	n1	"[{""id"": ""n1_01_01"", ""texto"": ""El"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_01_02"", ""texto"": ""gato"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_01_03"", ""texto"": ""duerme"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""tercera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_01_04"", ""texto"": ""en"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_01_05"", ""texto"": ""el"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_01_06"", ""texto"": ""sofá"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_01_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	Ayer llovió mucho en la ciudad.	n1	"[{""id"": ""n1_02_01"", ""texto"": ""Ayer"", ""cat"": ""Adverbio"", ""atrs"": {""tipo"": ""tiempo""}}, {""id"": ""n1_02_02"", ""texto"": ""llovió"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""segunda"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""pretérito perfecto simple"", ""modo"": ""indicativo"", ""aspecto"": ""perfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_02_03"", ""texto"": ""mucho"", ""cat"": ""Adverbio"", ""atrs"": {""tipo"": ""cantidad""}}, {""id"": ""n1_02_04"", ""texto"": ""en"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_02_05"", ""texto"": ""la"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""femenino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_02_06"", ""texto"": ""ciudad"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_02_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	Mañana visitaré a mis abuelos.	n1	"[{""id"": ""n1_03_01"", ""texto"": ""Mañana"", ""cat"": ""Adverbio"", ""atrs"": {""tipo"": ""tiempo""}}, {""id"": ""n1_03_02"", ""texto"": ""visitaré"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""primera persona"", ""número"": ""singular"", ""tiempo"": ""futuro simple"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_03_03"", ""texto"": ""a"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_03_04"", ""texto"": ""mis"", ""cat"": ""Posesivo"", ""atrs"": {""función"": ""determinante"", ""persona"": ""primera persona"", ""poseedores"": ""un poseedor"", ""género"": ""invariable"", ""número"": ""plural""}}, {""id"": ""n1_03_05"", ""texto"": ""abuelos"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""plural"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_03_06"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	La niña dibuja un árbol enorme.	n1	"[{""id"": ""n1_04_01"", ""texto"": ""La"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""femenino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_04_02"", ""texto"": ""niña"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_04_03"", ""texto"": ""dibuja"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_04_04"", ""texto"": ""un"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""indeterminado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_04_05"", ""texto"": ""árbol"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_04_06"", ""texto"": ""enorme"", ""cat"": ""Adjetivo"", ""atrs"": {""subtipo"": ""calificativo"", ""género"": ""invariable"", ""número"": ""singular"", ""grado"": ""positivo""}}, {""id"": ""n1_04_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	Los alumnos leen un libro interesante.	n1	"[{""id"": ""n1_05_01"", ""texto"": ""Los"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""plural"", ""forma"": ""ninguna""}}, {""id"": ""n1_05_02"", ""texto"": ""alumnos"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""plural"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_05_03"", ""texto"": ""leen"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""segunda"", ""persona"": ""tercera persona"", ""número"": ""plural"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_05_04"", ""texto"": ""un"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""indeterminado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_05_05"", ""texto"": ""libro"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_05_06"", ""texto"": ""interesante"", ""cat"": ""Adjetivo"", ""atrs"": {""subtipo"": ""calificativo"", ""género"": ""invariable"", ""número"": ""singular"", ""grado"": ""positivo""}}, {""id"": ""n1_05_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	El sol brilla sobre las montañas.	n1	"[{""id"": ""n1_06_01"", ""texto"": ""El"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_06_02"", ""texto"": ""sol"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_06_03"", ""texto"": ""brilla"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_06_04"", ""texto"": ""sobre"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_06_05"", ""texto"": ""las"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""femenino"", ""número"": ""plural"", ""forma"": ""ninguna""}}, {""id"": ""n1_06_06"", ""texto"": ""montañas"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""plural"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_06_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	Mi padre cocina una tortilla deliciosa.	n1	"[{""id"": ""n1_07_01"", ""texto"": ""Mi"", ""cat"": ""Posesivo"", ""atrs"": {""función"": ""determinante"", ""persona"": ""primera persona"", ""poseedores"": ""un poseedor"", ""género"": ""invariable"", ""número"": ""singular""}}, {""id"": ""n1_07_02"", ""texto"": ""padre"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_07_03"", ""texto"": ""cocina"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_07_04"", ""texto"": ""una"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""indeterminado"", ""género"": ""femenino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_07_05"", ""texto"": ""tortilla"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_07_06"", ""texto"": ""deliciosa"", ""cat"": ""Adjetivo"", ""atrs"": {""subtipo"": ""calificativo"", ""género"": ""femenino"", ""número"": ""singular"", ""grado"": ""positivo""}}, {""id"": ""n1_07_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	El tren llegó tarde a la estación.	n1	"[{""id"": ""n1_08_01"", ""texto"": ""El"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_08_02"", ""texto"": ""tren"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_08_03"", ""texto"": ""llegó"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""pretérito perfecto simple"", ""modo"": ""indicativo"", ""aspecto"": ""perfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_08_04"", ""texto"": ""tarde"", ""cat"": ""Adverbio"", ""atrs"": {""tipo"": ""tiempo""}}, {""id"": ""n1_08_05"", ""texto"": ""a"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_08_06"", ""texto"": ""la"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""femenino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_08_07"", ""texto"": ""estación"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_08_08"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	Los niños juegan en el patio.	n1	"[{""id"": ""n1_09_01"", ""texto"": ""Los"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""plural"", ""forma"": ""ninguna""}}, {""id"": ""n1_09_02"", ""texto"": ""niños"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""plural"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_09_03"", ""texto"": ""juegan"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""primera"", ""persona"": ""tercera persona"", ""número"": ""plural"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_09_04"", ""texto"": ""en"", ""cat"": ""Preposición"", ""atrs"": {""tipo"": ""simple""}}, {""id"": ""n1_09_05"", ""texto"": ""el"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_09_06"", ""texto"": ""patio"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_09_07"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
josele-n1	La profesora corrige los exámenes.	n1	"[{""id"": ""n1_10_01"", ""texto"": ""La"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""femenino"", ""número"": ""singular"", ""forma"": ""ninguna""}}, {""id"": ""n1_10_02"", ""texto"": ""profesora"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""femenino"", ""número"": ""singular"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_10_03"", ""texto"": ""corrige"", ""cat"": ""Verbo"", ""atrs"": {""perífrasis"": ""no"", ""conjugación"": ""tercera"", ""persona"": ""tercera persona"", ""número"": ""singular"", ""tiempo"": ""presente"", ""modo"": ""indicativo"", ""aspecto"": ""imperfectivo"", ""voz"": ""activa""}}, {""id"": ""n1_10_04"", ""texto"": ""los"", ""cat"": ""Artículo"", ""atrs"": {""tipo"": ""determinado"", ""género"": ""masculino"", ""número"": ""plural"", ""forma"": ""ninguna""}}, {""id"": ""n1_10_05"", ""texto"": ""exámenes"", ""cat"": ""Sustantivo"", ""atrs"": {""subtipo"": ""común"", ""género"": ""masculino"", ""número"": ""plural"", ""comun_sub"": ""contable"", ""ind_col"": ""individual"", ""conc_abs"": ""concreto""}}, {""id"": ""n1_10_06"", ""texto"": ""."", ""cat"": ""Puntuación"", ""atrs"": {}}]"	
