ID	Nivel	Curso_Min	Titulo_Problema	Procedimientos	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
FP_0061	avanzado	1B	«Prehistórico»: ¿en qué orden se fabricó, primero el prefijo o primero el sufijo?		intruso;cadena;piezas;cascada	{"schema_version":"1.0","id":"FP_0061","nivel":"avanzado","titulo_problema":"«Prehistórico»: ¿en qué orden se fabricó, primero el prefijo o primero el sufijo?","corpus":["historia","prehistoria","histórico","prehistórico"],"items":[{"tipo":"intruso","palabras":["histórico","historiador","prehistórico","geográfico"],"respuesta":"geográfico","feedback":"«Geográfico» no tiene nada que ver con «historia»: las otras tres comparten esa base."},{"tipo":"cadena","pasos":["historia","prehistoria","prehistórico"],"distractores":["histórico"],"feedback":"Cada paso se apoya en el anterior: sin «prehistoria» no se explica «prehistórico», aunque «histórico» también exista por su cuenta."},{"tipo":"piezas","modo":"capas","palabra":"prehistórico","cortes":["pre","histór","ic","o"],"capas":[{"forma":"historia","existe":true},{"forma":"prehistoria","existe":true},{"forma":"prehistórico","existe":true}],"alternativa_rechazada":{"capas":["historia","histórico","prehistórico"],"micro":"'Histórico' existe, pero 'prehistórico' no significa 'histórico de antes': significa 'de la prehistoria'. La pieza 'pre-' entra antes que '-ico'."}},{"tipo":"cascada","palabra":"prehistórico","pasos":[{"pregunta":"Si le quitas 'pre-', ¿existe lo que queda?","respuesta":"si"},{"pregunta":"Si le quitas '-ico', ¿existe lo que queda?","respuesta":"si"},{"pregunta":"¿'Prehistórico' significa 'histórico de antes'?","respuesta":"no"}],"conclusion":"Significa 'de la prehistoria': primero se fabricó 'prehistoria' y después se le añadió '-ico'."}],"zona_gris":false,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.1 (canon estructura secuenciada)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	FALSE	TRUE
FP_0062	avanzado	1B	«Imperdonable»: ¿primero el sufijo o primero el prefijo?		intruso;juicio;piezas;cascada	{"schema_version":"1.0","id":"FP_0062","nivel":"avanzado","titulo_problema":"«Imperdonable»: ¿primero el sufijo o primero el prefijo?","corpus":["perdonar","perdonable","imperdonable"],"items":[{"tipo":"intruso","palabras":["imperdonable","perdonable","perdonar","imprudente"],"respuesta":"imprudente","feedback":"«Imprudente» no tiene relación con «perdonar»: las otras tres pertenecen a esa familia."},{"tipo":"juicio","forma":"*imperdonar","veredicto":"no_existe","causa":"orden_piezas","opciones_causa":["orden_piezas","parasintesis_incompleta"],"forma_correcta":"imperdonable","explicacion":"«Imperdonar» no existe: el sufijo «-able» se añadió antes que el prefijo «im-», nunca al revés."},{"tipo":"piezas","modo":"capas","palabra":"imperdonable","cortes":["im","perdon","able"],"capas":[{"forma":"perdonar","existe":true},{"forma":"perdonable","existe":true},{"forma":"imperdonable","existe":true}],"alternativa_rechazada":{"capas":["perdonar","imperdonar","imperdonable"],"micro":"'*Imperdonar' no existe: el prefijo no puede entrar antes que el sufijo. Primero se fabricó 'perdonable', y luego 'im-' lo negó."}},{"tipo":"cascada","palabra":"imperdonable","pasos":[{"pregunta":"Si le quitas 'im-', ¿existe lo que queda?","respuesta":"si"},{"pregunta":"Si a 'perdonar' le añades solo 'im-', ¿existe esa palabra?","respuesta":"no"}],"conclusion":"Primero se fabricó 'perdonable' añadiendo '-able' a 'perdonar', y después 'im-' lo negó: el prefijo entra el último."}],"zona_gris":false,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.1 (canon estructura secuenciada)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	FALSE	TRUE
FP_0063	avanzado	1B	«Anticonstitucional»: ¿qué pieza se añadió primero?		intruso;juicio;piezas;cascada	{"schema_version":"1.0","id":"FP_0063","nivel":"avanzado","titulo_problema":"«Anticonstitucional»: ¿qué pieza se añadió primero?","corpus":["constitución","constitucional","anticonstitucional"],"items":[{"tipo":"intruso","palabras":["anticonstitucional","constitucional","constituyente","anticongelante"],"respuesta":"anticongelante","feedback":"«Anticongelante» empieza igual pero no tiene que ver con «constitución»."},{"tipo":"juicio","forma":"*anticonstitución","veredicto":"no_existe","causa":"orden_piezas","opciones_causa":["orden_piezas","familia_falsa"],"forma_correcta":"anticonstitucional","explicacion":"«Anticonstitución» no existe: no se puede negar con «anti-» algo que aún no es un adjetivo. Primero se fabricó «constitucional», y después «anti-» lo negó."},{"tipo":"piezas","modo":"capas","palabra":"anticonstitucional","cortes":["anti","constitucion","al"],"capas":[{"forma":"constitución","existe":true},{"forma":"constitucional","existe":true},{"forma":"anticonstitucional","existe":true}],"alternativa_rechazada":{"capas":["constitución","anticonstitución","anticonstitucional"],"micro":"'*Anticonstitución' no existe: 'anti-' no puede entrar antes que '-al'. Primero se fabricó 'constitucional'."}},{"tipo":"cascada","palabra":"anticonstitucional","pasos":[{"pregunta":"Si le quitas 'anti-', ¿existe lo que queda?","respuesta":"si"},{"pregunta":"Si a 'constitución' le añades solo 'anti-', ¿existe esa palabra?","respuesta":"no"}],"conclusion":"'Anticonstitución' no existe: primero se fabricó 'constitucional' añadiendo '-al', y 'anti-' entró el último."}],"zona_gris":false,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.1 (canon estructura secuenciada)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	FALSE	TRUE
FP_0064	avanzado	1B	«Desconfianza»: ¿de qué palabra sale, de «confianza» o de «desconfiar»?		intruso;cadena;piezas;cascada	{"schema_version":"1.0","id":"FP_0064","nivel":"avanzado","titulo_problema":"«Desconfianza»: ¿de qué palabra sale, de «confianza» o de «desconfiar»?","corpus":["confiar","desconfiar","confianza","desconfianza"],"items":[{"tipo":"intruso","palabras":["desconfianza","confianza","desconfiar","desayuno"],"respuesta":"desayuno","feedback":"«Desayuno» no comparte la base «confi-» con las otras tres."},{"tipo":"cadena","pasos":["confiar","desconfiar","desconfianza"],"distractores":["confianza"],"feedback":"Cada paso se apoya en el anterior: «desconfianza» sale de «desconfiar», no directamente de «confianza»."},{"tipo":"piezas","modo":"capas","palabra":"desconfianza","cortes":["des","confi","anza"],"capas":[{"forma":"confiar","existe":true},{"forma":"desconfiar","existe":true},{"forma":"desconfianza","existe":true}],"alternativa_rechazada":{"capas":["confiar","confianza","desconfianza"],"micro":"'Confianza' existe, pero 'desconfianza' no significa 'confianza negada': significa 'acción de desconfiar'. Por eso 'des-' entra antes que '-anza'."}},{"tipo":"cascada","palabra":"desconfianza","pasos":[{"pregunta":"Si le quitas 'des-', ¿existe lo que queda ('confianza')?","respuesta":"si"},{"pregunta":"Si le quitas '-anza', ¿existe lo que queda ('desconfiar')?","respuesta":"si"},{"pregunta":"¿'Desconfianza' significa 'confianza negada'?","respuesta":"no"}],"conclusion":"Significa 'acción de desconfiar': primero se fabricó 'desconfiar' y después se le añadió '-anza'."}],"zona_gris":false,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.1 (canon estructura secuenciada)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	FALSE	TRUE
FP_0065	avanzado	1B	«Incomunicación»: ¿de qué palabra sale, de «comunicación» o de «incomunicar»?		intruso;cadena;piezas;cascada	{"schema_version":"1.0","id":"FP_0065","nivel":"avanzado","titulo_problema":"«Incomunicación»: ¿de qué palabra sale, de «comunicación» o de «incomunicar»?","corpus":["comunicar","incomunicar","comunicación","incomunicación"],"items":[{"tipo":"intruso","palabras":["incomunicación","comunicación","incomunicar","inconformista"],"respuesta":"inconformista","feedback":"«Inconformista» no comparte la base «comunic-» con las otras tres."},{"tipo":"cadena","pasos":["comunicar","incomunicar","incomunicación"],"distractores":["comunicación"],"feedback":"Sin «incomunicar» no se explica «incomunicación», aunque «comunicación» también exista por su cuenta."},{"tipo":"piezas","modo":"capas","palabra":"incomunicación","cortes":["in","comunica","ción"],"capas":[{"forma":"comunicar","existe":true},{"forma":"incomunicar","existe":true},{"forma":"incomunicación","existe":true}],"alternativa_rechazada":{"capas":["comunicar","comunicación","incomunicación"],"micro":"'Comunicación' existe, pero 'incomunicación' no es 'comunicación negada': es 'acción de incomunicar'. Por eso 'in-' entra antes que '-ción'."}},{"tipo":"cascada","palabra":"incomunicación","pasos":[{"pregunta":"Si le quitas 'in-', ¿existe lo que queda ('comunicación')?","respuesta":"si"},{"pregunta":"Si le quitas '-ción', ¿existe lo que queda ('incomunicar')?","respuesta":"si"},{"pregunta":"¿'Incomunicación' significa 'comunicación negada'?","respuesta":"no"}],"conclusion":"Significa 'acción de incomunicar': primero se fabricó 'incomunicar' y después se le añadió '-ción'."}],"zona_gris":false,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.1 (canon estructura secuenciada)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	FALSE	TRUE
FP_0066	avanzado	1B	«Ablandar»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0066","nivel":"avanzado","titulo_problema":"«Ablandar»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?","corpus":["blando","ablandar","reblandecer"],"items":[{"tipo":"intruso","palabras":["ablandar","ablandado","ablandamiento","abordar"],"respuesta":"abordar","feedback":"«Abordar» no comparte la base «bland-» con las otras tres."},{"tipo":"juicio","forma":"*blandar","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"ablandar","explicacion":"No existen «blandar» ni «ablando» como pasos intermedios: el prefijo «a-» y el sufijo «-ar» entraron a la vez sobre «blando»."},{"tipo":"piezas","modo":"capas","palabra":"ablandar","cortes":["a","bland","ar"],"capas":[{"forma":"blando","existe":true},{"forma":"ablandar","existe":true}],"alternativa_rechazada":{"capas":["blando","blandar","ablandar"],"micro":"'*Blandar' no existe: no hay ningún verbo 'blandar' al que luego se le añada 'a-'. Las dos piezas entraron juntas."}},{"tipo":"clasifica_prueba","palabra":"ablandar","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"banco_fabrica_palabras_2 (parasíntesis muy limpias)","curso_min":"1B"}}	docs/fuentes/banco_fabrica_palabras_2.md	FALSE	TRUE
FP_0067	avanzado	1B	«Embellecer»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0067","nivel":"avanzado","titulo_problema":"«Embellecer»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?","corpus":["bello","embellecer","embellecimiento"],"items":[{"tipo":"intruso","palabras":["embellecer","embellecido","embellecimiento","embestir"],"respuesta":"embestir","feedback":"«Embestir» no comparte la base «bell-» con las otras tres."},{"tipo":"juicio","forma":"*bellecer","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"embellecer","explicacion":"No existen «bellecer» ni «embello»: «em-» y «-ecer» se fabricaron a la vez sobre «bello»."},{"tipo":"piezas","modo":"capas","palabra":"embellecer","cortes":["em","bell","ecer"],"capas":[{"forma":"bello","existe":true},{"forma":"embellecer","existe":true}],"alternativa_rechazada":{"capas":["bello","bellecer","embellecer"],"micro":"'*Bellecer' no existe: 'em-' y '-ecer' se añadieron juntos, no uno detrás de otro."}},{"tipo":"clasifica_prueba","palabra":"embellecer","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-DERIV-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"banco_fabrica_palabras_2 (parasíntesis muy limpias)","curso_min":"1B"}}	docs/fuentes/banco_fabrica_palabras_2.md	FALSE	TRUE
FP_0068	avanzado	1B	«Desalmado»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?	parasintetica	intruso;juicio;piezas;clasifica_prueba	{"schema_version":"1.0","id":"FP_0068","nivel":"avanzado","titulo_problema":"«Desalmado»: ¿el prefijo y el sufijo entraron a la vez, o uno detrás de otro?","corpus":["alma","desalmado","almita"],"items":[{"tipo":"intruso","palabras":["desalmado","desalmada","desalmados","desayunar"],"respuesta":"desayunar","feedback":"«Desayunar» no comparte la base «alm-» con las otras tres."},{"tipo":"juicio","forma":"*almado","veredicto":"no_existe","causa":"parasintesis_incompleta","opciones_causa":["parasintesis_incompleta","orden_piezas"],"forma_correcta":"desalmado","explicacion":"No existe «almado»: el prefijo «des-» y el sufijo «-ado» entraron a la vez sobre «alma»."},{"tipo":"piezas","modo":"capas","palabra":"desalmado","cortes":["des","alm","ad","o"],"capas":[{"forma":"alma","existe":true},{"forma":"desalmado","existe":true}],"alternativa_rechazada":{"capas":["alma","almado","desalmado"],"micro":"'*Almado' no existe: no hay ningún participio 'almado' al que luego se le añada 'des-'. Las dos piezas entraron juntas."}},{"tipo":"clasifica_prueba","palabra":"desalmado","procedimiento":"parasintetica","prueba_id":"PRU-MORF-PARA-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"tecnico","peso":2}],"zona_gris":false,"metadatos":{"origen_ud":"banco_fabrica_palabras_2 (parasíntesis muy limpias)","curso_min":"1B"}}	docs/fuentes/banco_fabrica_palabras_2.md	FALSE	TRUE
FP_0069	avanzado	1B	«Ojo de buey»: ¿un compuesto sintagmático, o una locución?		intruso;frontera;cascada	{"schema_version":"1.0","id":"FP_0069","nivel":"avanzado","titulo_problema":"«Ojo de buey»: ¿un compuesto sintagmático, o una locución?","corpus":["ojo de buey","ojo","buey","ventanilla"],"items":[{"tipo":"intruso","palabras":["ojo de buey","claraboya","tragaluz","hombre rana"],"respuesta":"hombre rana","feedback":"«Hombre rana» no nombra una ventana: las otras tres sí nombran huecos redondos por los que entra luz."},{"tipo":"frontera","palabra":"ojo de buey","opciones":[{"texto":"compuesto sintagmático: dos sustantivos unidos por una preposición fija","ok":true,"micro":"Tiene la forma de un sintagma preposicional fijado en una sola unidad, igual que «hombre rana»."},{"texto":"locución nominal: una expresión hecha, no una palabra fabricada pieza a pieza","ok":true,"micro":"La NGLE la trata expresamente como locución: 'ojo de buey' no significa 'un ojo que es de un buey', así que su significado no sale de sumar las partes."}],"explicacion":"Las dos lecturas son defendibles: por la forma (sintagma con preposición fijado) parece compuesto; por el significado (no es la suma de las partes) la NGLE prefiere locución."},{"tipo":"cascada","palabra":"ojo de buey","pasos":[{"pregunta":"¿Un ojo de buey es literalmente el ojo de un buey?","respuesta":"no"},{"pregunta":"¿Puedes cambiar 'buey' por otro animal y que signifique lo mismo?","respuesta":"no"}],"conclusion":"El significado no sale de sumar 'ojo'+'de'+'buey': por eso la NGLE prefiere tratarla como locución nominal, no como compuesto fabricado pieza a pieza."}],"zona_gris":true,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.4 (locuciones, casos del lote 1B)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	TRUE	TRUE
FP_0070	avanzado	1B	«Piel de gallina»: ¿un compuesto sintagmático, o una locución?		intruso;frontera;cascada	{"schema_version":"1.0","id":"FP_0070","nivel":"avanzado","titulo_problema":"«Piel de gallina»: ¿un compuesto sintagmático, o una locución?","corpus":["piel de gallina","piel","gallina","escalofrío"],"items":[{"tipo":"intruso","palabras":["piel de gallina","escalofrío","estremecimiento","piel de cordero"],"respuesta":"piel de cordero","feedback":"«Piel de cordero» nombra un material real; las otras tres nombran la sensación de frío o miedo en la piel."},{"tipo":"frontera","palabra":"piel de gallina","opciones":[{"texto":"compuesto sintagmático: dos sustantivos unidos por una preposición fija","ok":true,"micro":"Tiene forma de sintagma preposicional fijado en una sola unidad, igual que 'ojo de buey'."},{"texto":"locución nominal: una expresión hecha, no una palabra fabricada pieza a pieza","ok":true,"micro":"La piel no se parece de verdad a la de una gallina desplumada más que por la textura: el significado (la reacción de frío o miedo) no sale de sumar las partes."}],"explicacion":"Igual que 'ojo de buey', tiene forma de sintagma con preposición pero un significado que no es la suma literal de sus partes: por eso la NGLE la trata como locución."},{"tipo":"cascada","palabra":"piel de gallina","pasos":[{"pregunta":"¿Tu piel se parece de verdad a la de una gallina desplumada?","respuesta":"no"},{"pregunta":"¿Nombra siempre la misma sensación fija, la tengas donde la tengas?","respuesta":"si"}],"conclusion":"El significado está fijado como bloque (la reacción de frío o miedo), no se calcula sumando 'piel'+'de'+'gallina': es más locución que compuesto fabricado."}],"zona_gris":true,"metadatos":{"origen_ud":"Schema_Formacion_v1.0 §12.4 (locuciones, casos del lote 1B)","curso_min":"1B"}}	docs/Schema_Formacion_v1.0.md	TRUE	TRUE
