ID	Nivel	Curso_Min	Titulo_Problema	Procedimientos	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
FP_0099	avanzado	1B	¿Se puede fabricar 'desrobotizar'?	derivada	clasifica_prueba;intruso;juicio	{"schema_version": "1.0", "id": "FP_0099", "nivel": "avanzado", "titulo_problema": "¿Se puede fabricar 'desrobotizar'?", "corpus": ["robot", "robótica", "robotizar", "robotización", "desrobotizar"], "items": [{"tipo": "intruso", "palabras": ["robot", "robótica", "robotizar", "robusto"], "respuesta": "robusto", "feedback": "'Robusto' empieza igual, pero significa fuerte: el parecido es solo de letras."}, {"tipo": "juicio", "forma": "desrobotizar", "veredicto": "dudosa", "causa": "no_lexicalizada", "opciones_causa": ["no_lexicalizada", "restriccion_sufijo"], "explicacion": "'Des-' se une a verbos que nombran una acción, y 'robotizar' lo es: cualquiera entiende 'desrobotizar' a la primera. No está en el diccionario porque casi nadie ha necesitado nombrar esa operación, no porque el español la rechace."}, {"tipo": "juicio", "forma": "*robotidad", "veredicto": "no_existe", "contexto": "Un alumno quería nombrar el campo de los robots y escribió…", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "falta_base"], "forma_correcta": "robótica", "explicacion": "'-idad' se apoya en adjetivos ('normal' → 'normalidad'), no en nombres como 'robot'. Aquí el español ya tiene 'robótica' ocupando ese hueco. Fíjate en la diferencia con 'desrobotizar': aquella se podía fabricar y solo faltaba que alguien la usara; esta ni siquiera se puede."}, {"tipo": "juicio", "forma": "robotización", "veredicto": "correcta", "explicacion": "'Robotizar' existe y '-ción' nombra la acción de un verbo: la palabra está bien fabricada y además se usa todos los días."}, {"tipo": "clasifica_prueba", "palabra": "robotización", "procedimiento": "derivada", "prueba_id": "PRU-MORF-DERIV-01", "distractores": ["PRU-MORF-CLEX-01", "HEUR-DOS-PARTES"], "enunciado": "tecnico"}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0100	avanzado	1B	Una palabra traída del inglés, ¿fabrica familia en español?	prestamo;derivada	agrupa;cascada;juicio	{"schema_version": "1.0", "id": "FP_0100", "nivel": "avanzado", "titulo_problema": "Una palabra traída del inglés, ¿fabrica familia en español?", "corpus": ["tuit", "tuitear", "tuitero", "tuiteo"], "items": [{"tipo": "agrupa", "criterio": "familia_lexica", "cestas": [{"nombre": "Salen de 'tuit'", "palabras": ["tuit", "tuitear", "tuitero", "retuitear"]}, {"nombre": "No tienen nada que ver", "palabras": ["tutear", "tutor"]}], "feedback": "Compartir letras no basta: hay que compartir el significado de base.", "sobrantes": [{"palabra": "tutear", "micro": "Se parece en las letras, pero 'tutear' es tratar de tú: no habla de mensajes."}]}, {"tipo": "juicio", "forma": "*tuitación", "veredicto": "no_existe", "contexto": "Un alumno quería nombrar la acción de tuitear y escribió…", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "alomorfo_incorrecto"], "forma_correcta": "tuiteo", "explicacion": "El hueco para nombrar la acción ya lo ocupa 'tuiteo', que es la forma que ha cuajado. Cuando la casilla está llena, la otra pieza no entra."}, {"tipo": "juicio", "forma": "tuiteable", "veredicto": "dudosa", "causa": "no_lexicalizada", "opciones_causa": ["no_lexicalizada", "restriccion_sufijo"], "explicacion": "'-ble' se une a verbos y significa 'que se puede…': 'tuiteable' se entiende sin que nadie la explique. Que no esté en el diccionario no la hace imposible; es una palabra que la lengua podría adoptar mañana."}, {"tipo": "juicio", "forma": "tuitero", "veredicto": "correcta", "explicacion": "'-ero' fabrica nombres de persona sobre nombres, igual que en 'pan' → 'panadero'. Una palabra venida de fuera ya se comporta como cualquier palabra de aquí."}, {"tipo": "cascada", "palabra": "tuit", "pasos": [{"pregunta": "¿Está formada uniendo dos palabras que aportan su significado a la palabra nueva?", "respuesta": "no"}, {"pregunta": "¿Está hecha solo con las iniciales de varias palabras?", "respuesta": "no"}, {"pregunta": "¿Ha entrado desde otra lengua, tal cual o adaptada a nuestra escritura?", "respuesta": "si"}], "procedimiento": "prestamo"}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0101	avanzado	1B	¿Hasta dónde se puede seguir fabricando sobre 'reciclar'?	derivada	intruso;juicio;piezas	{"schema_version": "1.0", "id": "FP_0101", "nivel": "avanzado", "titulo_problema": "¿Hasta dónde se puede seguir fabricando sobre 'reciclar'?", "corpus": ["reciclar", "reciclable", "reciclaje", "reciclabilidad"], "items": [{"tipo": "intruso", "palabras": ["reciclar", "reciclaje", "reciclable", "recital"], "respuesta": "recital", "feedback": "'Recital' empieza con las mismas letras, pero es un concierto: no tiene nada que ver con volver a usar algo."}, {"tipo": "juicio", "forma": "*reciclamiento", "veredicto": "no_existe", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "parasintesis_incompleta"], "forma_correcta": "reciclaje", "explicacion": "'-miento' y '-aje' compiten para nombrar la acción, y en este verbo el hueco lo ocupa 'reciclaje'. No es que '-miento' esté mal en general: es que aquí llega tarde."}, {"tipo": "juicio", "forma": "reciclabilidad", "veredicto": "dudosa", "causa": "no_lexicalizada", "opciones_causa": ["no_lexicalizada", "restriccion_sufijo"], "explicacion": "Está bien fabricada: '-idad' se apoya en un adjetivo ('reciclable') y fabrica un nombre. Aparece en informes técnicos y suena rara en una conversación: posible, pero todavía no asentada."}, {"tipo": "juicio", "forma": "reciclable", "veredicto": "correcta", "explicacion": "'Reciclar' es un verbo y '-ble' se une a verbos: la palabra está bien fabricada y es de uso corriente."}, {"tipo": "piezas", "modo": "etiquetar", "palabra": "reciclable", "cortes": ["re", "cicl", "able"], "etiquetas": ["prefijo", "raiz", "sufijo"]}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0102	avanzado	1B	Una palabra prestada que ya fabrica hijas	prestamo;derivada	clasifica_prueba;intruso;juicio	{"schema_version": "1.0", "id": "FP_0102", "nivel": "avanzado", "titulo_problema": "Una palabra prestada que ya fabrica hijas", "corpus": ["fútbol", "futbolista", "futbolero", "futbolístico"], "items": [{"tipo": "intruso", "palabras": ["fútbol", "futbolista", "futbolero", "futuro"], "respuesta": "futuro", "feedback": "'Futuro' empieza parecido y habla del tiempo que vendrá: nada que ver con el balón."}, {"tipo": "juicio", "forma": "*futbolidad", "veredicto": "no_existe", "contexto": "Un alumno quería decir 'lo relativo al fútbol' y escribió…", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "falta_base"], "forma_correcta": "futbolístico", "explicacion": "'-idad' necesita un adjetivo debajo, y 'fútbol' es un nombre. Para decir 'lo relativo al fútbol' el español ya tiene 'futbolístico'."}, {"tipo": "juicio", "forma": "futbolizar", "veredicto": "dudosa", "causa": "no_lexicalizada", "opciones_causa": ["no_lexicalizada", "alomorfo_incorrecto"], "explicacion": "'-izar' fabrica verbos sobre nombres ('nación' → 'nacionalizar'), así que 'futbolizar' se entiende: convertir algo en fútbol. Nadie la ha necesitado todavía, y por eso no está recogida."}, {"tipo": "juicio", "forma": "futbolero", "veredicto": "correcta", "explicacion": "Sobre una palabra venida del inglés, el español fabrica con sus propias piezas: 'futbolero' está bien formada y se usa."}, {"tipo": "clasifica_prueba", "palabra": "fútbol", "procedimiento": "prestamo", "prueba_id": "PRU-MORF-PREST-01", "distractores": ["PRU-MORF-ACORT-01", "HEUR-MEMORIA"], "enunciado": "tecnico"}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0103	avanzado	1B	¿Por qué 'salinidad' sí y 'salidad' no?	derivada	agrupa;juicio;piezas	{"schema_version": "1.0", "id": "FP_0103", "nivel": "avanzado", "titulo_problema": "¿Por qué 'salinidad' sí y 'salidad' no?", "corpus": ["sal", "salero", "salado", "salinidad"], "items": [{"tipo": "agrupa", "criterio": "familia_lexica", "cestas": [{"nombre": "Tienen que ver con la sal", "palabras": ["sal", "salero", "salado", "salina"]}, {"nombre": "No tienen que ver con la sal", "palabras": ["salir", "salón"]}], "feedback": "El mismo trozo de letras no garantiza el mismo significado de base.", "sobrantes": [{"palabra": "salón", "micro": "Empieza igual y no tiene nada que ver: en un salón no hay sal."}]}, {"tipo": "juicio", "forma": "*salidad", "veredicto": "no_existe", "contexto": "Un alumno quería nombrar la cantidad de sal que tiene el agua del mar y escribió…", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "falta_base"], "forma_correcta": "salinidad", "explicacion": "'-idad' se apoya en un adjetivo, no en un nombre: no parte de 'sal', sino de 'salino'. Por eso la palabra que existe es 'salinidad'."}, {"tipo": "juicio", "forma": "salerito", "veredicto": "dudosa", "causa": "no_lexicalizada", "opciones_causa": ["no_lexicalizada", "alomorfo_incorrecto"], "explicacion": "Los diminutivos se fabrican sobre la marcha: 'salerito' no está en el diccionario y no le hace ninguna falta, porque cualquier hablante la crea y la entiende al vuelo. Ahí se ve que la lengua no es una lista cerrada de palabras."}, {"tipo": "juicio", "forma": "salado", "veredicto": "correcta", "explicacion": "'Sal' + '-ado' fabrica un adjetivo perfectamente normal: la palabra existe y se usa."}, {"tipo": "piezas", "modo": "etiquetar", "palabra": "salinidad", "cortes": ["sal", "in", "idad"], "etiquetas": ["raiz", "sufijo", "sufijo"]}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0104	basico	1E	¿Qué cambia cada vez que 'zapato' se convierte en otra palabra?	derivada	agrupa;juicio;par_minimo;piezas	{"schema_version": "1.0", "id": "FP_0104", "nivel": "basico", "titulo_problema": "¿Qué cambia cada vez que 'zapato' se convierte en otra palabra?", "corpus": ["zapato", "zapatero", "zapatería", "zapatilla"], "items": [{"tipo": "agrupa", "criterio": "familia_lexica", "cestas": [{"nombre": "Son de la familia de 'zapato'", "palabras": ["zapato", "zapatero", "zapatería", "zapatilla"]}, {"nombre": "No son de esa familia", "palabras": ["zapear", "zarpa"]}], "feedback": "Para ser de la misma familia hay que compartir el trozo Y el significado.", "sobrantes": [{"palabra": "zapear", "micro": "Empieza igual, pero es cambiar de canal: no tiene nada que ver con los zapatos."}]}, {"tipo": "par_minimo", "forma_a": "zapato", "forma_b": "zapatero", "cambio": "zapato → zapatero", "opciones": [{"texto": "Nombra a la persona que trabaja con eso", "ok": true, "micro": "El zapatero es quien hace o arregla zapatos."}, {"texto": "Dice que hay más de uno", "ok": false, "micro": "Eso es lo que hace 'zapatos'."}]}, {"tipo": "juicio", "forma": "*eríazapat", "veredicto": "no_existe", "causa": "orden_piezas", "opciones_causa": ["orden_piezas", "falta_base"], "forma_correcta": "zapatería", "explicacion": "Los trozos están puestos al revés: primero va 'zapat-' y detrás '-ería'."}, {"tipo": "par_minimo", "forma_a": "zapato", "forma_b": "zapatilla", "cambio": "zapato → zapatilla", "opciones": [{"texto": "Nombra otra cosa parecida, pero distinta", "ok": true, "micro": "Una zapatilla no es un zapato pequeño: es otro tipo de calzado."}, {"texto": "Dice que es más pequeño", "ok": false, "micro": "Eso pasa con 'zapatito', que sí es un zapato pequeño."}]}, {"tipo": "piezas", "modo": "etiquetar", "palabra": "zapatería", "cortes": ["zapat", "ería"], "etiquetas": ["raiz", "sufijo"]}], "zona_gris": false, "metadatos": {"origen_ud": "UD Gramatica_01 1ESO S4", "curso_min": "1E"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0105	basico	1E	Tres trozos distintos para la misma palabra	derivada	intruso;juicio;par_minimo;piezas	{"schema_version": "1.0", "id": "FP_0105", "nivel": "basico", "titulo_problema": "Tres trozos distintos para la misma palabra", "corpus": ["leche", "lechero", "lechería", "lechoso"], "items": [{"tipo": "intruso", "palabras": ["leche", "lechero", "lechuga", "lechoso"], "respuesta": "lechuga", "feedback": "'Lechuga' empieza igual, pero es una verdura: no tiene nada que ver con la leche."}, {"tipo": "par_minimo", "forma_a": "leche", "forma_b": "lechero", "cambio": "leche → lechero", "opciones": [{"texto": "Nombra a la persona que la reparte o la vende", "ok": true, "micro": "El lechero trae la leche."}, {"texto": "Dice cómo es algo", "ok": false, "micro": "Eso lo hace 'lechoso'."}]}, {"tipo": "par_minimo", "forma_a": "leche", "forma_b": "lechoso", "cambio": "leche → lechoso", "opciones": [{"texto": "Dice cómo es algo: que parece leche", "ok": true, "micro": "Un líquido lechoso tiene el aspecto de la leche."}, {"texto": "Nombra el sitio donde se vende", "ok": false, "micro": "Ese sitio es la 'lechería'."}]}, {"tipo": "juicio", "forma": "*lechuguero", "veredicto": "no_existe", "contexto": "Un alumno quería nombrar a quien vende leche y escribió…", "causa": "familia_falsa", "opciones_causa": ["familia_falsa", "orden_piezas"], "forma_correcta": "lechero", "explicacion": "'Lechuga' no es de la familia de 'leche', aunque empiece igual: quien vende leche es el 'lechero'."}, {"tipo": "piezas", "modo": "etiquetar", "palabra": "lechero", "cortes": ["lech", "ero"], "etiquetas": ["raiz", "sufijo"]}], "zona_gris": false, "metadatos": {"origen_ud": "UD Gramatica_01 1ESO S4", "curso_min": "1E"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0106	medio	3E	¿Qué hace cada peldaño de la escalera?	derivada	cadena;intruso;par_minimo;piezas	{"schema_version": "1.0", "id": "FP_0106", "nivel": "medio", "titulo_problema": "¿Qué hace cada peldaño de la escalera?", "corpus": ["nación", "nacional", "nacionalizar", "nacionalización"], "items": [{"tipo": "intruso", "palabras": ["nación", "nacional", "nacionalidad", "narración"], "respuesta": "narración", "feedback": "'Narración' suena parecido, pero viene de 'narrar': contar algo."}, {"tipo": "cadena", "pasos": ["nación", "nacional", "nacionalizar", "nacionalización"], "distractores": ["nacionalista"], "feedback": "Cada peldaño se fabrica sobre el anterior: sin 'nacionalizar' no hay 'nacionalización'."}, {"tipo": "par_minimo", "forma_a": "nación", "forma_b": "nacional", "cambio": "nación → nacional", "opciones": [{"texto": "Fabrica una palabra que acompaña a un nombre", "ok": true, "micro": "'Nacional' se dice de algo: equipo nacional, fiesta nacional."}, {"texto": "Nombra la acción de hacer algo", "ok": false, "micro": "Eso lo hace la última pieza de 'nacionalización'."}]}, {"tipo": "par_minimo", "forma_a": "nacional", "forma_b": "nacionalizar", "cambio": "nacional → nacionalizar", "opciones": [{"texto": "Fabrica un verbo: una acción que se hace", "ok": true, "micro": "Nacionalizar es pasar algo al Estado."}, {"texto": "Nombra a la persona que defiende esa idea", "ok": false, "micro": "Esa persona es el 'nacionalista'."}]}, {"tipo": "piezas", "modo": "etiquetar", "palabra": "nacionalización", "cortes": ["nacion", "al", "iza", "ción"], "etiquetas": ["raiz", "sufijo", "sufijo", "sufijo"]}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "3E"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0107	medio	3E	Dos caminos que salen de la misma palabra	derivada	agrupa;clasifica_prueba;par_minimo	{"schema_version": "1.0", "id": "FP_0107", "nivel": "medio", "titulo_problema": "Dos caminos que salen de la misma palabra", "corpus": ["útil", "utilizar", "utilización", "utilidad"], "items": [{"tipo": "agrupa", "criterio": "familia_lexica", "cestas": [{"nombre": "Salen de 'útil'", "palabras": ["útil", "utilidad", "utilizar", "inútil"]}, {"nombre": "No salen de ahí", "palabras": ["utopía", "uva"]}], "feedback": "El parecido del principio de la palabra engaña: hay que mirar el significado.", "sobrantes": [{"palabra": "utopía", "micro": "Empieza parecido y no tiene relación: una utopía es un sueño imposible."}]}, {"tipo": "par_minimo", "forma_a": "útil", "forma_b": "utilidad", "cambio": "útil → utilidad", "opciones": [{"texto": "Nombra la cualidad, algo que no se toca", "ok": true, "micro": "La utilidad de una herramienta es lo que sirve."}, {"texto": "Fabrica una acción", "ok": false, "micro": "Eso es 'utilizar'."}]}, {"tipo": "par_minimo", "forma_a": "útil", "forma_b": "utilizar", "cambio": "útil → utilizar", "opciones": [{"texto": "Fabrica una acción que se hace", "ok": true, "micro": "Utilizar es usar algo."}, {"texto": "Nombra la cualidad", "ok": false, "micro": "Eso es 'utilidad'."}]}, {"tipo": "clasifica_prueba", "palabra": "utilización", "procedimiento": "derivada", "prueba_id": "PRU-MORF-DERIV-01", "distractores": ["PRU-MORF-SIMPLE-01", "HEUR-DOS-PARTES"], "enunciado": "tecnico"}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "3E"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
FP_0108	avanzado	1B	Tres piezas para el mismo trabajo: ¿quién elige?	derivada	agrupa;clasifica_prueba;juicio	{"schema_version": "1.0", "id": "FP_0108", "nivel": "avanzado", "titulo_problema": "Tres piezas para el mismo trabajo: ¿quién elige?", "corpus": ["aterrizar", "aterrizaje", "entrenar", "entrenamiento", "fundar", "fundación"], "items": [{"tipo": "agrupa", "criterio": "pieza_comun", "cestas": [{"nombre": "Acaban como 'aterrizaje'", "palabras": ["aterrizaje", "rodaje", "montaje"]}, {"nombre": "Acaban como 'entrenamiento'", "palabras": ["entrenamiento", "movimiento", "aburrimiento"]}], "feedback": "Tres piezas distintas hacen el mismo trabajo: nombrar la acción de un verbo."}, {"tipo": "juicio", "forma": "*aterrizamiento", "veredicto": "no_existe", "contexto": "Un alumno quería nombrar la acción de aterrizar y escribió…", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "alomorfo_incorrecto"], "forma_correcta": "aterrizaje", "explicacion": "Cada verbo tiene ya elegida su pieza para nombrar la acción, y 'aterrizar' se quedó con '-aje'. No es que '-miento' esté mal en general: es que en este verbo la casilla está ocupada."}, {"tipo": "juicio", "forma": "*entrenación", "veredicto": "no_existe", "causa": "restriccion_sufijo", "opciones_causa": ["restriccion_sufijo", "falta_base"], "forma_correcta": "entrenamiento", "explicacion": "Mismo caso al revés: aquí la casilla la ocupa '-miento'. Saber qué pieza elige cada verbo no se deduce de una regla: se comprueba."}, {"tipo": "juicio", "forma": "fundación", "veredicto": "correcta", "explicacion": "'Fundar' nombra su acción con '-ción', y esa es la forma que la lengua ha fijado."}, {"tipo": "clasifica_prueba", "palabra": "aterrizaje", "procedimiento": "derivada", "prueba_id": "PRU-MORF-DERIV-01", "distractores": ["PRU-MORF-PARA-01", "HEUR-DOS-PARTES"], "enunciado": "tecnico"}], "zona_gris": false, "metadatos": {"origen_ud": "propio", "curso_min": "1B"}}	Auditoria_Fabrica_Reflexion_2026-08 §3 (lote 3)	FALSE	TRUE
