ID	Nivel	Curso_Min	Titulo_Problema	Procedimientos	Tipos_Item	JSON_Reto	Fuente	Zona_Gris	Activo
FP_0001	basico	1E	¿Qué piezas esconde la palabra 'ilegal'?	derivada	intruso;piezas;juicio;clasifica_prueba	{"schema_version":"1.0","id":"FP_0001","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'ilegal'?","corpus":["ilegal","legalizar","legalidad"],"items":[{"tipo":"intruso","palabras":["ilegal","ilegítimo","ilustre","ilimitado"],"respuesta":"ilustre","feedback":"'Ilustre' empieza igual, pero no comparte el trozo con significado de 'legal'."},{"tipo":"piezas","modo":"cortar","palabra":"ilegal","cortes":["i","legal"],"feedback":"'i' es la pieza con la que arranca la palabra; 'legal' añade el resto del significado."},{"tipo":"juicio","forma":"*legali","veredicto":"no_existe","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"ilegal","explicacion":"Las piezas van en el orden que no es: primero 'i' y después 'legal', no al revés."},{"tipo":"piezas","modo":"etiquetar","palabra":"ilegal","cortes":["i","legal"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"ilegal","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0002	basico	1E	¿Qué piezas esconde la palabra 'imposible'?	derivada	agrupa;piezas;monta;clasifica_prueba	{"schema_version":"1.0","id":"FP_0002","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'imposible'?","corpus":["imposible","posibilidad","posiblemente"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con lo que se puede o no se puede","palabras":["imposible","posibilidad","posiblemente"]},{"nombre":"No tienen que ver con esa familia","palabras":["silla","ventana"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"imposible","cortes":["im","posible"],"feedback":"'im' es la pieza con la que arranca la palabra; 'posible' añade el resto del significado."},{"tipo":"monta","piezas":[{"texto":"im-","tipo":"prefijo"},{"texto":"posible","tipo":"raiz"},{"texto":"mesa","tipo":"raiz"}],"minimo":1,"validas":[{"palabra":"imposible","usa":["im-","posible"],"procedimiento":"derivada"}],"rebotes":[{"usa":["mesa","posible"],"micro":"'mesa' y 'posible' no forman ninguna palabra real: no comparten familia."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"imposible","cortes":["im","posible"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"imposible","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0003	basico	1E	¿Qué piezas esconde la palabra 'inmoral'?	derivada	agrupa;piezas;par_minimo;clasifica_prueba	{"schema_version":"1.0","id":"FP_0003","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'inmoral'?","corpus":["inmoral","moralidad","moralista"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con lo que está bien o mal hecho","palabras":["inmoral","moralidad","moralista"]},{"nombre":"No tienen que ver con esa familia","palabras":["nube","jardín"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"inmoral","cortes":["in","moral"],"feedback":"'in' es la pieza con la que arranca la palabra; 'moral' añade el resto del significado."},{"tipo":"par_minimo","forma_a":"moral","forma_b":"inmoral","cambio":"moral → inmoral","opciones":[{"texto":"palabra nueva","ok":true,"micro":"'inmoral' no es lo mismo que 'moral': tiene un significado distinto."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara un dato de número o género, y aquí cambia el significado."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"inmoral","cortes":["in","moral"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"inmoral","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0004	basico	1E	¿Qué piezas esconde la palabra 'irregular'?	derivada	intruso;piezas;juicio;cascada	{"schema_version":"1.0","id":"FP_0004","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'irregular'?","corpus":["irregular","regularidad","regularizar"],"items":[{"tipo":"intruso","palabras":["irregular","irreal","irrigar","irremediable"],"respuesta":"irrigar","feedback":"'Irrigar' empieza parecido, pero su pieza con significado no tiene nada que ver con 'regular'."},{"tipo":"piezas","modo":"cortar","palabra":"irregular","cortes":["ir","regular"],"feedback":"'ir' es la pieza con la que arranca la palabra; 'regular' añade el resto del significado."},{"tipo":"juicio","forma":"*regularir","veredicto":"no_existe","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"irregular","explicacion":"Las piezas van en el orden que no es: primero 'ir' y después 'regular', no al revés."},{"tipo":"piezas","modo":"etiquetar","palabra":"irregular","cortes":["ir","regular"],"etiquetas":["prefijo","raiz"]},{"tipo":"cascada","palabra":"irregular","pasos":[{"pregunta":"¿Se puede separar en dos palabras completas que existen por su cuenta?","respuesta":"no"},{"pregunta":"¿Tiene una pieza al principio o al final que cambia el significado de la base?","respuesta":"si"}],"procedimiento":"derivada"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0005	basico	1E	¿Qué piezas esconde la palabra 'deshacer'?	derivada	agrupa;piezas;monta;clasifica_prueba	{"schema_version":"1.0","id":"FP_0005","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'deshacer'?","corpus":["deshacer","rehacer","hacedor"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con la acción de hacer","palabras":["deshacer","rehacer","hacedor"]},{"nombre":"No tienen que ver con esa familia","palabras":["camino","espejo"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"deshacer","cortes":["des","hacer"],"feedback":"'des' es la pieza con la que arranca la palabra; 'hacer' añade el resto del significado."},{"tipo":"monta","piezas":[{"texto":"des-","tipo":"prefijo"},{"texto":"hacer","tipo":"raiz"},{"texto":"coche","tipo":"raiz"}],"minimo":1,"validas":[{"palabra":"deshacer","usa":["des-","hacer"],"procedimiento":"derivada"}],"rebotes":[{"usa":["coche","hacer"],"micro":"'coche' y 'hacer' no forman ninguna palabra real: no comparten familia."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"deshacer","cortes":["des","hacer"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"deshacer","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0006	basico	1E	¿Qué piezas esconde la palabra 'desconectar'?	derivada	agrupa;piezas;par_minimo;clasifica_prueba	{"schema_version":"1.0","id":"FP_0006","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'desconectar'?","corpus":["desconectar","conexión","reconectar"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con conectar cosas","palabras":["desconectar","conexión","reconectar"]},{"nombre":"No tienen que ver con esa familia","palabras":["gato","río"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"desconectar","cortes":["des","conectar"],"feedback":"'des' es la pieza con la que arranca la palabra; 'conectar' añade el resto del significado."},{"tipo":"par_minimo","forma_a":"conectar","forma_b":"desconectar","cambio":"conectar → desconectar","opciones":[{"texto":"palabra nueva","ok":true,"micro":"'desconectar' no es lo mismo que 'conectar': tiene un significado distinto."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara un dato de número o género, y aquí cambia el significado."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"desconectar","cortes":["des","conectar"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"desconectar","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0007	basico	1E	¿Qué piezas esconde la palabra 'descargar'?	derivada	agrupa;piezas;juicio;clasifica_prueba	{"schema_version":"1.0","id":"FP_0007","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'descargar'?","corpus":["descargar","cargamento","recargar"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con llevar peso o carga","palabras":["descargar","cargamento","recargar"]},{"nombre":"No tienen que ver con esa familia","palabras":["montaña","azúcar"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"descargar","cortes":["des","cargar"],"feedback":"'des' es la pieza con la que arranca la palabra; 'cargar' añade el resto del significado."},{"tipo":"juicio","forma":"descargar","veredicto":"correcta","explicacion":"'descargar' está bien formada: cada pieza está en su sitio."},{"tipo":"piezas","modo":"etiquetar","palabra":"descargar","cortes":["des","cargar"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"descargar","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0008	basico	1E	¿Qué piezas esconde la palabra 'descubrir'?	derivada	intruso;piezas;monta;cascada	{"schema_version":"1.0","id":"FP_0008","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'descubrir'?","corpus":["descubrir","cubierta","recubrir"],"items":[{"tipo":"intruso","palabras":["descubrir","descuidar","desviar","destapar"],"respuesta":"descuidar","feedback":"'Descuidar' empieza igual, pero la pieza con significado ('cuid-') no tiene nada que ver con 'cubrir'."},{"tipo":"piezas","modo":"cortar","palabra":"descubrir","cortes":["des","cubrir"],"feedback":"'des' es la pieza con la que arranca la palabra; 'cubrir' añade el resto del significado."},{"tipo":"monta","piezas":[{"texto":"des-","tipo":"prefijo"},{"texto":"cubrir","tipo":"raiz"},{"texto":"sol","tipo":"raiz"}],"minimo":1,"validas":[{"palabra":"descubrir","usa":["des-","cubrir"],"procedimiento":"derivada"}],"rebotes":[{"usa":["sol","cubrir"],"micro":"'sol' y 'cubrir' no forman ninguna palabra real: no comparten familia."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"descubrir","cortes":["des","cubrir"],"etiquetas":["prefijo","raiz"]},{"tipo":"cascada","palabra":"descubrir","pasos":[{"pregunta":"¿Se puede separar en dos palabras completas que existen por su cuenta?","respuesta":"no"},{"pregunta":"¿Tiene una pieza al principio o al final que cambia el significado de la base?","respuesta":"si"}],"procedimiento":"derivada"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0009	basico	1E	¿Qué piezas esconde la palabra 'releer'?	derivada	agrupa;piezas;par_minimo;clasifica_prueba	{"schema_version":"1.0","id":"FP_0009","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'releer'?","corpus":["releer","lectura","leído"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con la lectura","palabras":["releer","lectura","leído"]},{"nombre":"No tienen que ver con esa familia","palabras":["paraguas","cuchara"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"releer","cortes":["re","leer"],"feedback":"'re' es la pieza con la que arranca la palabra; 'leer' añade el resto del significado."},{"tipo":"par_minimo","forma_a":"leer","forma_b":"releer","cambio":"leer → releer","opciones":[{"texto":"palabra nueva","ok":true,"micro":"'releer' no es lo mismo que 'leer': tiene un significado distinto."},{"texto":"la misma con un dato","ok":false,"micro":"Eso pasaría si solo cambiara un dato de número o género, y aquí cambia el significado."}]},{"tipo":"piezas","modo":"etiquetar","palabra":"releer","cortes":["re","leer"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"releer","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
FP_0010	basico	1E	¿Qué piezas esconde la palabra 'reconstruir'?	derivada	agrupa;piezas;juicio;clasifica_prueba	{"schema_version":"1.0","id":"FP_0010","nivel":"basico","titulo_problema":"¿Qué piezas esconde la palabra 'reconstruir'?","corpus":["reconstruir","construcción","constructor"],"items":[{"tipo":"agrupa","criterio":"familia_lexica","cestas":[{"nombre":"Tienen que ver con construir algo","palabras":["reconstruir","construcción","constructor"]},{"nombre":"No tienen que ver con esa familia","palabras":["semáforo","almohada"]}],"feedback":"Compartir letras al principio no basta: hay que compartir el significado de base."},{"tipo":"piezas","modo":"cortar","palabra":"reconstruir","cortes":["re","construir"],"feedback":"'re' es la pieza con la que arranca la palabra; 'construir' añade el resto del significado."},{"tipo":"juicio","forma":"*construirre","veredicto":"no_existe","causa":"orden_piezas","opciones_causa":["orden_piezas","falta_base"],"forma_correcta":"reconstruir","explicacion":"Las piezas van en el orden que no es: primero 're' y después 'construir', no al revés."},{"tipo":"piezas","modo":"etiquetar","palabra":"reconstruir","cortes":["re","construir"],"etiquetas":["prefijo","raiz"]},{"tipo":"clasifica_prueba","palabra":"reconstruir","procedimiento":"derivada","prueba_id":"PRU-MORF-DERIV-01","distractores":["PRU-MORF-CLEX-01","HEUR-DOS-PARTES"],"enunciado":"simple"}],"zona_gris":false,"metadatos":{"origen_ud":"Gramatica_01 1ESO","curso_min":"1E"}}	docs/fuentes/pares_minimos_formacion.md	FALSE	TRUE
